Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Phlox aculeata KANU00265317,Phlox aculeata,1,1.98,0.258,,,,,
Phlox aculeata KANU00265317,Phlox aculeata,2,2.344,0.222,,,,,
Phlox aculeata KANU00265317,Phlox aculeata,3,1.542,0.277,,,,,
Phlox aculeata KANU00265318,Phlox aculeata,1,1.833,0.2,,,,,
Phlox aculeata KANU00265318,Phlox aculeata,2,1.452,0.15,,,,,
Phlox aculeata KANU00265318,Phlox aculeata,3,1.706,0.16,,,,,
,Phlox aculeata,,,,1.8095,0.324156598,0.211166667,0.051242235,8.569060773
Phlox adsurgens KANU00265319,Phlox adsurgens,1,2.598,0.217,,,,,
Phlox adsurgens KANU00265319,Phlox adsurgens,2,2.441,0.222,,,,,
,Phlox adsurgens,,,,2.5195,0.111015765,0.2195,0.003535534,11.47835991
Phlox alyssifolia KANU00265321,Phlox alyssifolia,1,2.888,0.346,,,,,
Phlox alyssifolia KANU00265321,Phlox alyssifolia,2,2.619,0.306,,,,,
Phlox alyssifolia KANU00265321,Phlox alyssifolia,3,2.478,0.208,,,,,
Phlox alyssifolia KANU00265336,Phlox alyssifolia,1,2.447,0.174,,,,,
Phlox alyssifolia KANU00265336,Phlox alyssifolia,2,2.18,0.159,,,,,
Phlox alyssifolia KANU00265336,Phlox alyssifolia,3,2.148,0.215,,,,,
,Phlox alyssifolia,,,,2.46,0.277381326,0.234666667,0.074816219,10.48295455
Phlox amoena KANU00265356,Phlox amoena,1,1.702,0.12,,,,,
Phlox amoena KANU00265356,Phlox amoena,2,1.528,0.171,,,,,
Phlox amoena KANU00265356,Phlox amoena,3,1.62,0.169,,,,,
Phlox amoena KANU00265358,Phlox amoena,1,1.97,0.192,,,,,
Phlox amoena KANU00265358,Phlox amoena,2,1.855,0.188,,,,,
Phlox amoena KANU00265358,Phlox amoena,3,1.767,0.233,,,,,
Phlox amoena KANU00265360,Phlox amoena,1,2.087,0.179,,,,,
Phlox amoena KANU00265360,Phlox amoena,2,1.96,0.181,,,,,
Phlox amoena KANU00265360,Phlox amoena,3,1.782,0.132,,,,,
Phlox amoena KSC0129871,Phlox amoena,1,2.859,0.24,,,,,
Phlox amoena KSC0129871,Phlox amoena,2,2.632,0.209,,,,,
Phlox amoena KSC0129871,Phlox amoena,3,2.009,0.18,,,,,
Phlox amoena KSC0129873,Phlox amoena,1,2.162,0.196,,,,,
Phlox amoena KSC0129873,Phlox amoena,2,2.392,0.205,,,,,
Phlox amoena KSC0129873,Phlox amoena,3,1.427,0.137,,,,,
Phlox amoena KSC0129874,Phlox amoena,1,1.685,0.199,,,,,
Phlox amoena KSC0129874,Phlox amoena,2,1.758,0.317,,,,,
Phlox amoena KSC0129874,Phlox amoena,3,1.516,0.168,,,,,
Phlox amoena KSC0129875,Phlox amoena,1,2.305,0.179,,,,,
Phlox amoena KSC0129875,Phlox amoena,2,2.281,0.211,,,,,
Phlox amoena KSC0129875,Phlox amoena,3,1.608,0.16,,,,,
,Phlox amoena,,,,1.947857143,0.380467907,0.188857143,0.042002721,10.31391831
Phlox amplifolia KSC0129890,Phlox amplifolia,1,1.957,0.185,,,,,
Phlox amplifolia KSC0129890,Phlox amplifolia,2,1.201,0.112,,,,,
,Phlox amplifolia,,,,1.579,0.534572727,0.1485,0.051618795,10.63299663
Phlox andicola KANU00265362,Phlox andicola,1,1.981,0.215,,,,,
Phlox andicola KANU00265362,Phlox andicola,2,1.898,0.264,,,,,
Phlox andicola KANU00265362,Phlox andicola,3,1.982,0.226,,,,,
Phlox andicola KANU00265366,Phlox andicola,1,1.802,0.176,,,,,
Phlox andicola KANU00265366,Phlox andicola,2,2.084,0.209,,,,,
Phlox andicola KANU00265366,Phlox andicola,3,1.753,0.224,,,,,
Phlox andicola KANU00330422,Phlox andicola,1,2.393,0.241,,,,,
Phlox andicola KANU00330422,Phlox andicola,2,1.661,0.192,,,,,
Phlox andicola KANU00330422,Phlox andicola,3,1.916,0.223,,,,,
,Phlox andicola,,,,1.941111111,0.213182108,0.218888889,0.025721802,8.868020305
Phlox austromontana KANU00265432,Phlox austromontana,1,1.292,0.314,,,,,
Phlox austromontana KANU00265432,Phlox austromontana,2,1.473,0.275,,,,,
Phlox austromontana KANU00265432,Phlox austromontana,3,1.611,0.191,,,,,
Phlox austromontana KANU00265433,Phlox austromontana,1,1.664,0.159,,,,,
Phlox austromontana KANU00265433,Phlox austromontana,2,1.289,0.204,,,,,
Phlox austromontana KANU00265433,Phlox austromontana,3,1.38,0.181,,,,,
Phlox austromontana KANU00325775,Phlox austromontana,1,1.797,0.21,,,,,
Phlox austromontana KANU00325775,Phlox austromontana,2,1.543,0.199,,,,,
Phlox austromontana KANU00325775,Phlox austromontana,3,1.434,0.18,,,,,
,Phlox austromontana,,,,1.498111111,0.171942174,0.212555556,0.049802387,7.048092002
Phlox bifida KSC,Phlox bifida,1,1.759,0.202,,,,,
Phlox bifida KSC,Phlox bifida,2,1.863,0.187,,,,,
Phlox bifida KSC,Phlox bifida,3,1.705,0.213,,,,,
Phlox bifida KSC0129901,Phlox bifida,1,2.254,0.213,,,,,
Phlox bifida KSC0129901,Phlox bifida,2,1.98,0.251,,,,,
Phlox bifida KSC0129901,Phlox bifida,3,1.572,0.187,,,,,
,Phlox bifida,,,,1.8555,0.239455006,0.208833333,0.023718488,8.885075818
Phlox bifida ssp arkansana KANU00265437,Phlox bifida ssp arkansana,1,2.105,0.219,,,,,
Phlox bifida ssp arkansana KANU00265437,Phlox bifida ssp arkansana,2,1.92,0.22,,,,,
Phlox bifida ssp arkansana KANU00265437,Phlox bifida ssp arkansana,3,2.047,0.192,,,,,
Phlox bifida ssp arkansana KANU00305233,Phlox bifida ssp arkansana,1,1.972,0.258,,,,,
Phlox bifida ssp arkansana KANU00305233,Phlox bifida ssp arkansana,2,1.747,0.229,,,,,
Phlox bifida ssp arkansana KANU00305233,Phlox bifida ssp arkansana,3,1.979,0.232,,,,,
,Phlox bifida ssp arkansana,,,,1.961666667,0.12332991,0.225,0.021466253,8.718518519
Phlox bifida ssp bifida KANU00265441,Phlox bifida ssp bifida,1,2.18,0.263,,,,,
Phlox bifida ssp bifida KANU00265441,Phlox bifida ssp bifida,2,1.968,0.26,,,,,
Phlox bifida ssp bifida KANU00265441,Phlox bifida ssp bifida,3,1.616,0.21,,,,,
Phlox bifida ssp bifida KSC0129897,Phlox bifida ssp bifida,1,1.957,0.221,,,,,
Phlox bifida ssp bifida KSC0129897,Phlox bifida ssp bifida,2,2.062,0.256,,,,,
Phlox bifida ssp bifida KSC0129897,Phlox bifida ssp bifida,3,1.826,0.199,,,,,
,Phlox bifida ssp bifida,,,,1.934833333,0.195636823,0.234833333,0.028166765,8.239176721
Phlox bifida ssp stellaria KSC0129898,Phlox bifida ssp stellaria,1,1.834,0.224,,,,,
Phlox bifida ssp stellaria KSC0129898,Phlox bifida ssp stellaria,2,2.098,0.219,,,,,
Phlox bifida ssp stellaria KSC0129898,Phlox bifida ssp stellaria,3,2.168,0.203,,,,,
,Phlox bifida ssp stellaria,,,,2.033333333,0.176140096,0.215333333,0.010969655,9.442724458
Phlox brandegei KANU00263982,Phlox brandegei,1,2.321,0.333,,,,,
Phlox brandegei KANU00263982,Phlox brandegei,2,1.594,0.25,,,,,
Phlox brandegei KANU00263982,Phlox brandegei,3,2.223,0.349,,,,,
,Phlox brandegei,,,,2.046,0.394498416,0.310666667,0.053144457,6.58583691
Phlox buckleyi KSC0129904,Phlox buckleyi,1,2.224,0.251,,,,,
Phlox buckleyi KSC0129904,Phlox buckleyi,2,2.194,0.273,,,,,
Phlox buckleyi KSC0129904,Phlox buckleyi,3,2.357,0.285,,,,,
Phlox buckleyi KSC0129905,Phlox buckleyi,1,3.411,0.315,,,,,
Phlox buckleyi KSC0129905,Phlox buckleyi,2,2.572,0.28,,,,,
Phlox buckleyi KSC0129905,Phlox buckleyi,3,3.436,0.285,,,,,
,Phlox buckleyi,,,,2.699,0.576863242,0.2815,0.020743674,9.587921847
Phlox caespitosa KANU00265448,Phlox caespitosa,1,1.539,0.191,,,,,
Phlox caespitosa KANU00265448,Phlox caespitosa,2,1.756,0.174,,,,,
Phlox caespitosa KANU00265448,Phlox caespitosa,3,2.083,0.173,,,,,
Phlox caespitosa KANU00265455,Phlox caespitosa,1,1.171,0.147,,,,,
Phlox caespitosa KANU00265455,Phlox caespitosa,2,1.215,0.151,,,,,
Phlox caespitosa KANU00265455,Phlox caespitosa,3,1.336,0.138,,,,,
,Phlox caespitosa,,,,1.516666667,0.352602137,0.162333333,0.020136203,9.342915811
Phlox carolina KANU00265450,Phlox carolina,1,3.679,0.359,,,,,
Phlox carolina KANU00265450,Phlox carolina,2,3.539,0.252,,,,,
Phlox carolina KANU00265450,Phlox carolina,3,3.081,0.297,,,,,
Phlox carolina KANU00265452,Phlox carolina,1,2.501,0.159,,,,,
Phlox carolina KANU00265452,Phlox carolina,2,3.17,0.157,,,,,
Phlox carolina KANU00265452,Phlox carolina,3,2.293,0.208,,,,,
Phlox carolina KANU00265453,Phlox carolina,1,4.118,0.365,,,,,
Phlox carolina KANU00265453,Phlox carolina,2,3.85,0.309,,,,,
Phlox carolina KANU00265453,Phlox carolina,3,3.408,0.354,,,,,
,Phlox carolina,,,,3.293222222,0.602178084,0.273333333,0.083224095,12.04837398
Phlox cluteana RSABG780852,Phlox cluteana,1,2.536,0.299,,,,,
Phlox cluteana RSABG780852,Phlox cluteana,2,2.141,0.263,,,,,
Phlox cluteana RSABG780852,Phlox cluteana,3,2.414,,,,,,
,Phlox cluteana,,,,2.363666667,0.202253142,0.281,0.025455844,8.411625148
Phlox colubrina KANU00265464,Phlox colubrina,1,2.171,0.294,,,,,
Phlox colubrina KANU00265464,Phlox colubrina,2,2.107,0.213,,,,,
Phlox colubrina KANU00265464,Phlox colubrina,3,1.955,0.286,,,,,
Phlox colubrina KANU00265465,Phlox colubrina,1,2.112,0.236,,,,,
Phlox colubrina KANU00265465,Phlox colubrina,2,1.995,0.18,,,,,
,Phlox colubrina,,,,2.068,0.089671623,0.2418,0.048375614,8.552522746
Phlox condensata KANU00330063,Phlox condensata,1,0.979,0.146,,,,,
Phlox condensata KANU00330063,Phlox condensata,2,0.947,0.166,,,,,
Phlox condensata KANU00330063,Phlox condensata,3,0.973,0.161,,,,,
,Phlox condensata,,,,0.966333333,0.017009801,0.157666667,0.01040833,6.128964059
Phlox cuspidata KANU00265458,Phlox cuspidata,1,1.88,0.236,,,,,
Phlox cuspidata KANU00265458,Phlox cuspidata,2,1.742,0.191,,,,,
Phlox cuspidata KANU00265458,Phlox cuspidata,3,1.482,0.125,,,,,
Phlox cuspidata KANU00265460,Phlox cuspidata,1,1.463,0.124,,,,,
Phlox cuspidata KANU00265460,Phlox cuspidata,2,1.382,0.168,,,,,
Phlox cuspidata KANU00265460,Phlox cuspidata,3,1.534,0.222,,,,,
Phlox cuspidata KSC0129915,Phlox cuspidata,1,1.634,0.179,,,,,
Phlox cuspidata KSC0129915,Phlox cuspidata,2,1.595,0.165,,,,,
Phlox cuspidata KSC0129915,Phlox cuspidata,3,1.345,0.179,,,,,
Phlox cuspidata KSC0129916,Phlox cuspidata,1,2.203,0.194,,,,,
Phlox cuspidata KSC0129916,Phlox cuspidata,2,1.853,0.187,,,,,
Phlox cuspidata KSC0129916,Phlox cuspidata,3,1.554,0.199,,,,,
Phlox cuspidata KSC0129917,Phlox cuspidata,1,2.166,0.119,,,,,
Phlox cuspidata KSC0129917,Phlox cuspidata,2,2.072,0.157,,,,,
Phlox cuspidata KSC0129917,Phlox cuspidata,3,2.233,0.172,,,,,
,Phlox cuspidata,,,,1.742533333,0.306846836,0.174466667,0.033820676,9.987772258
Phlox cuspidata ssp cuspidata KANU00265459,Phlox cuspidata ssp cuspidata,1,1.679,0.184,,,,,
Phlox cuspidata ssp cuspidata KANU00265459,Phlox cuspidata ssp cuspidata,2,1.429,0.241,,,,,
Phlox cuspidata ssp cuspidata KANU00265459,Phlox cuspidata ssp cuspidata,3,1.418,0.22,,,,,
,Phlox cuspidata ssp cuspidata,,,,1.508666667,0.147615492,0.215,0.028827071,7.017054264
Phlox diffusa KANU00265469,Phlox diffusa,1,1.372,0.228,,,,,
Phlox diffusa KANU00265469,Phlox diffusa,2,1.496,0.243,,,,,
Phlox diffusa KANU00265469,Phlox diffusa,3,1.45,0.242,,,,,
Phlox diffusa KANU00265472,Phlox diffusa,1,1.953,0.227,,,,,
Phlox diffusa KANU00265472,Phlox diffusa,2,1.666,0.291,,,,,
Phlox diffusa KANU00265472,Phlox diffusa,3,1.835,0.24,,,,,
Phlox diffusa KANU00265473,Phlox diffusa,1,2.29,0.293,,,,,
Phlox diffusa KANU00265473,Phlox diffusa,2,1.664,0.224,,,,,
Phlox diffusa KANU00265473,Phlox diffusa,3,2.395,0.212,,,,,
,Phlox diffusa,,,,1.791222222,0.362735709,0.244444444,0.028718945,7.327727273
Phlox dispersa MO4331226,Phlox dispersa,1,1.16,0.178,,,,,
Phlox dispersa MO4331226,Phlox dispersa,2,,0.151,,,,,
Phlox dispersa MO4331226,Phlox dispersa,3,0.994,,,,,,
Phlox dispersa MO4331227,Phlox dispersa,1,1.481,,,,,,
,Phlox dispersa,,,,1.211666667,0.247576924,0.1645,0.019091883,7.365754813
Phlox divaricata KANU348246,Phlox divaricata,1,1.916,0.18,,,,,
Phlox divaricata KANU348246,Phlox divaricata,2,2.051,0.246,,,,,
Phlox divaricata KANU348246,Phlox divaricata,3,2.273,0.166,,,,,
Phlox divaricata KANU349429,Phlox divaricata,1,1.944,0.173,,,,,
Phlox divaricata KANU349429,Phlox divaricata,2,2.161,0.191,,,,,
Phlox divaricata KANU349429,Phlox divaricata,3,1.989,0.181,,,,,
Phlox divaricata KANU349877,Phlox divaricata,1,1.92,0.214,,,,,
Phlox divaricata KANU349877,Phlox divaricata,2,2.386,0.238,,,,,
Phlox divaricata KANU349877,Phlox divaricata,3,2.338,0.235,,,,,
Phlox divaricata KSC,Phlox divaricata,1,2.192,0.207,,,,,
Phlox divaricata KSC,Phlox divaricata,2,2.05,0.141,,,,,
Phlox divaricata KSC,Phlox divaricata,3,2.144,0.19,,,,,
Phlox divaricata KSC0129933,Phlox divaricata,1,2.704,0.161,,,,,
Phlox divaricata KSC0129933,Phlox divaricata,2,2.355,0.175,,,,,
Phlox divaricata KSC0129933,Phlox divaricata,3,1.596,0.203,,,,,
Phlox divaricata KSC0129934,Phlox divaricata,1,3.002,0.286,,,,,
Phlox divaricata KSC0129934,Phlox divaricata,2,3.175,0.23,,,,,
Phlox divaricata KSC0129934,Phlox divaricata,3,2.526,0.207,,,,,
Phlox divaricata KSC0129959,Phlox divaricata,1,2.172,0.207,,,,,
Phlox divaricata KSC0129959,Phlox divaricata,2,1.904,0.224,,,,,
Phlox divaricata KSC0129959,Phlox divaricata,3,2.398,0.198,,,,,
Phlox divaricata KSC2,Phlox divaricata,1,2.345,0.244,,,,,
Phlox divaricata KSC2,Phlox divaricata,2,2.411,0.248,,,,,
,Phlox divaricata,,,,2.258782609,0.358921485,0.206304348,0.034240373,10.9487882
Phlox divaricata ssp laphamii KANU354041,Phlox divaricata ssp laphamii,1,1.591,0.249,,,,,
Phlox divaricata ssp laphamii KANU354041,Phlox divaricata ssp laphamii,2,1.825,0.223,,,,,
,Phlox divaricata ssp laphamii,,,,1.708,0.165462987,0.236,0.018384776,7.237288136
Phlox dolichantha KSC012992,Phlox dolichantha,1,4.589,0.266,,,,,
Phlox dolichantha KSC012992,Phlox dolichantha,2,4.551,0.258,,,,,
Phlox dolichantha KSC012992,Phlox dolichantha,3,5.85,0.456,,,,,
Phlox dolichantha KSC0129993,Phlox dolichantha,1,3.488,0.153,,,,,
Phlox dolichantha KSC0129993,Phlox dolichantha,2,4.056,0.244,,,,,
Phlox dolichantha KSC0129993,Phlox dolichantha,3,3.312,0.288,,,,,
,Phlox dolichantha,,,,4.307666667,0.921270138,0.2775,0.099103481,15.52312312
Phlox douglasii KANU00265555,Phlox douglasii,1,1.454,0.22,,,,,
Phlox douglasii KANU00265555,Phlox douglasii,2,1.221,0.214,,,,,
Phlox douglasii KANU00265555,Phlox douglasii,3,1.498,0.268,,,,,
Phlox douglasii KANU00265567,Phlox douglasii,1,0.953,0.188,,,,,
Phlox douglasii KANU00265567,Phlox douglasii,2,0.83,0.168,,,,,
Phlox douglasii KANU00265567,Phlox douglasii,3,0.896,0.157,,,,,
,Phlox douglasii,,,,1.142,0.29117074,0.2025,0.040495679,5.639506173
Phlox drummondii KANU00265559,Phlox drummondii,1,2.111,0.197,,,,,
Phlox drummondii KANU00265559,Phlox drummondii,2,1.941,0.181,,,,,
Phlox drummondii KANU00265559,Phlox drummondii,3,2.573,0.163,,,,,
Phlox drummondii KANU00265563,Phlox drummondii,1,2.458,0.195,,,,,
Phlox drummondii KANU00265563,Phlox drummondii,2,2.639,0.152,,,,,
Phlox drummondii KANU00265563,Phlox drummondii,3,1.866,0.201,,,,,
Phlox drummondii KANU00265566,Phlox drummondii,1,2.09,0.228,,,,,
Phlox drummondii KANU00265566,Phlox drummondii,2,2.104,0.187,,,,,
Phlox drummondii KANU00265566,Phlox drummondii,3,1.897,0.195,,,,,
Phlox drummondii KANU00265576,Phlox drummondii,1,1.582,0.201,,,,,
Phlox drummondii KANU00265576,Phlox drummondii,2,1.456,0.16,,,,,
Phlox drummondii KSC0130047,Phlox drummondii,1,2.239,0.182,,,,,
Phlox drummondii KSC0130047,Phlox drummondii,2,1.876,0.16,,,,,
Phlox drummondii KSC0130047,Phlox drummondii,3,2.609,0.215,,,,,
Phlox drummondii KSC0130051,Phlox drummondii,1,2.648,0.173,,,,,
Phlox drummondii KSC0130051,Phlox drummondii,2,1.794,0.177,,,,,
Phlox drummondii KSC0130051,Phlox drummondii,3,1.916,,,,,,
Phlox drummondii KSC0130054,Phlox drummondii,1,2.004,0.179,,,,,
Phlox drummondii KSC0130054,Phlox drummondii,2,2.139,0.18,,,,,
Phlox drummondii KSC0130054,Phlox drummondii,3,1.842,0.226,,,,,
,Phlox drummondii,,,,2.0892,0.346280932,0.186947368,0.021518658,11.17533784
Phlox drummondii ssp glabriflora RSABG337074,Phlox drummondii ssp glabriflora,1,2.017,0.346,,,,,
Phlox drummondii ssp glabriflora RSABG337074,Phlox drummondii ssp glabriflora,2,2.102,0.173,,,,,
Phlox drummondii ssp glabriflora RSABG337074,Phlox drummondii ssp glabriflora,3,2.33,,,,,,
,Phlox drummondii ssp glabriflora,,,,2.149666667,0.161852814,0.2595,0.122329473,8.283879255
Phlox floridana KANU00265590,Phlox floridana,1,2.662,0.26,,,,,
Phlox floridana KANU00265590,Phlox floridana,2,2.496,0.219,,,,,
Phlox floridana KANU00265590,Phlox floridana,3,2.701,0.221,,,,,
Phlox floridana KANU00265593,Phlox floridana,1,1.246,0.191,,,,,
Phlox floridana KANU00265593,Phlox floridana,2,2.146,0.155,,,,,
Phlox floridana KANU00265594,Phlox floridana,1,1.704,0.224,,,,,
Phlox floridana KANU00265594,Phlox floridana,2,1.456,0.214,,,,,
Phlox floridana KANU00265594,Phlox floridana,3,1.623,0.258,,,,,
Phlox floridana KSC0120060,Phlox floridana,1,2.26,0.249,,,,,
Phlox floridana KSC0120060,Phlox floridana,2,2.559,0.212,,,,,
Phlox floridana KSC0120060,Phlox floridana,3,2.523,0.234,,,,,
Phlox floridana KSC0130061,Phlox floridana,1,2.632,0.228,,,,,
Phlox floridana KSC0130061,Phlox floridana,2,2.107,0.233,,,,,
Phlox floridana KSC0130061,Phlox floridana,3,2.776,0.275,,,,,
Phlox floridana KSC0130063,Phlox floridana,1,3.219,0.296,,,,,
Phlox floridana KSC0130063,Phlox floridana,2,3.152,0.26,,,,,
Phlox floridana KSC0130063,Phlox floridana,3,3.132,0.273,,,,,
,Phlox floridana,,,,2.376117647,0.594107827,0.235411765,0.03415966,10.09345327
Phlox glaberrima KANU00265598,Phlox glaberrima,1,3.483,0.289,,,,,
Phlox glaberrima KANU00265598,Phlox glaberrima,2,3.014,0.311,,,,,
Phlox glaberrima KANU00265598,Phlox glaberrima,3,2.377,0.278,,,,,
Phlox glaberrima KANU00265599,Phlox glaberrima,1,2.523,0.209,,,,,
Phlox glaberrima KANU00265599,Phlox glaberrima,2,2.55,0.172,,,,,
Phlox glaberrima KANU00265599,Phlox glaberrima,3,2.649,0.205,,,,,
Phlox glaberrima KSC0130086,Phlox glaberrima,1,3.179,0.311,,,,,
Phlox glaberrima KSC0130086,Phlox glaberrima,2,3.009,0.241,,,,,
Phlox glaberrima KSC0130086,Phlox glaberrima,3,3.027,0.295,,,,,
Phlox glaberrima KSC0130091,Phlox glaberrima,1,3.334,0.251,,,,,
Phlox glaberrima KSC0130091,Phlox glaberrima,2,3.605,0.253,,,,,
Phlox glaberrima KSC0130091,Phlox glaberrima,3,2.735,0.278,,,,,
Phlox glaberrima KSC0130094,Phlox glaberrima,1,2.806,0.25,,,,,
Phlox glaberrima KSC0130094,Phlox glaberrima,2,2.521,0.223,,,,,
Phlox glaberrima KSC0130094,Phlox glaberrima,3,2.341,0.227,,,,,
,Phlox glaberrima,,,,2.876866667,0.399055289,0.252866667,0.041032856,11.37701028
Phlox griseola RSABG363552,Phlox griseola,1,1.647,0.175,,,,,
Phlox griseola RSABG363552,Phlox griseola,2,1.414,0.313,,,,,
Phlox griseola RSABG363552,Phlox griseola,3,1.588,0.26,,,,,
,Phlox griseola,,,,1.549666667,0.121137663,0.249333333,0.069615611,6.215240642
Phlox hoodii KANU00265642,Phlox hoodii,1,1.588,0.234,,,,,
Phlox hoodii KANU00265642,Phlox hoodii,2,1.609,0.197,,,,,
Phlox hoodii KANU00265642,Phlox hoodii,3,1.29,0.234,,,,,
,Phlox hoodii,,,,1.495666667,0.178421785,0.221666667,0.02136196,6.747368421
Phlox hoodii ssp canescens KANU00265640,Phlox hoodii ssp canescens,1,1.159,0.166,,,,,
Phlox hoodii ssp canescens KANU00265640,Phlox hoodii ssp canescens,2,1.357,0.17,,,,,
Phlox hoodii ssp canescens KANU00265640,Phlox hoodii ssp canescens,3,1.435,0.188,,,,,
Phlox hoodii ssp canescens KANU00265644,Phlox hoodii ssp canescens,1,0.862,0.13,,,,,
Phlox hoodii ssp canescens KANU00265644,Phlox hoodii ssp canescens,2,1.296,0.148,,,,,
Phlox hoodii ssp canescens KANU00265644,Phlox hoodii ssp canescens,3,1.275,0.148,,,,,
,Phlox hoodii ssp canescens,,,,1.230666667,0.20248325,0.158333333,0.020451569,7.772631579
Phlox kelseyi ssp kelseyi MO2752409,Phlox kelseyi ssp kelseyi,1,1.866,0.249,,,,,
Phlox kelseyi ssp kelseyi MO2752409,Phlox kelseyi ssp kelseyi,2,2.163,0.281,,,,,
Phlox kelseyi ssp kelseyi MO2752409,Phlox kelseyi ssp kelseyi,3,1.483,0.226,,,,,
Phlox kelseyi ssp kelseyi MO2752412,Phlox kelseyi ssp kelseyi,1,1.876,0.194,,,,,
Phlox kelseyi ssp kelseyi MO2752412,Phlox kelseyi ssp kelseyi,2,2.083,0.253,,,,,
Phlox kelseyi ssp kelseyi MO2752412,Phlox kelseyi ssp kelseyi,3,1.762,0.169,,,,,
Phlox kelseyi ssp kelseyi MO543356,Phlox kelseyi ssp kelseyi,1,2.105,0.403,,,,,
Phlox kelseyi ssp kelseyi MO543356,Phlox kelseyi ssp kelseyi,2,2.333,0.385,,,,,
Phlox kelseyi ssp kelseyi MO543356,Phlox kelseyi ssp kelseyi,3,2.437,0.453,,,,,
,Phlox kelseyi ssp kelseyi,,,,2.012,0.296291664,0.290333333,0.099653148,6.929965557
Phlox longifolia KANU00265691,Phlox longifolia,1,2.406,0.314,,,,,
Phlox longifolia KANU00265691,Phlox longifolia,2,1.978,0.31,,,,,
Phlox longifolia KANU00265691,Phlox longifolia,3,2.32,0.276,,,,,
Phlox longifolia KANU00265696,Phlox longifolia,1,2.421,0.233,,,,,
Phlox longifolia KANU00265696,Phlox longifolia,2,2.122,0.232,,,,,
Phlox longifolia KANU00265696,Phlox longifolia,3,2.468,0.237,,,,,
,Phlox longifolia,,,,2.285833333,0.194249753,0.267,0.038522721,8.561173533
Phlox maculata KANU00265723,Phlox maculata,1,2.555,0.267,,,,,
Phlox maculata KANU00265723,Phlox maculata,2,2.202,0.204,,,,,
Phlox maculata KANU00265723,Phlox maculata,3,2.58,0.249,,,,,
Phlox maculata KANU00265733,Phlox maculata,1,2.906,0.261,,,,,
Phlox maculata KANU00265733,Phlox maculata,2,2.647,0.341,,,,,
Phlox maculata KANU00265733,Phlox maculata,3,2.209,0.28,,,,,
Phlox maculata KSC0130153,Phlox maculata,1,2.66,0.246,,,,,
Phlox maculata KSC0130153,Phlox maculata,2,2.275,0.21,,,,,
Phlox maculata KSC0130153,Phlox maculata,3,2.014,0.218,,,,,
Phlox maculata KSC0130156,Phlox maculata,1,2.697,0.269,,,,,
Phlox maculata KSC0130156,Phlox maculata,2,2.562,0.275,,,,,
Phlox maculata KSC0130156,Phlox maculata,3,3.05,0.305,,,,,
Phlox maculata KSC0130160,Phlox maculata,1,3.15,0.36,,,,,
Phlox maculata KSC0130160,Phlox maculata,2,2.863,0.273,,,,,
Phlox maculata KSC0130160,Phlox maculata,3,2.595,0.268,,,,,
,Phlox maculata,,,,2.597666667,0.321507757,0.2684,0.043287742,9.678340785
Phlox maculata ssp pyramidalis KANU00265732,Phlox maculata ssp pyramidalis,1,2.854,0.328,,,,,
Phlox maculata ssp pyramidalis KANU00265732,Phlox maculata ssp pyramidalis,2,2.378,0.247,,,,,
Phlox maculata ssp pyramidalis KANU00265732,Phlox maculata ssp pyramidalis,3,2.759,0.266,,,,,
,Phlox maculata ssp pyramidalis,,,,2.663666667,0.251913345,0.280333333,0.042359572,9.501783591
Phlox multiflora KANU00265737,Phlox multiflora,1,2.092,0.285,,,,,
Phlox multiflora KANU00265737,Phlox multiflora,2,1.716,0.472,,,,,
Phlox multiflora KANU00265737,Phlox multiflora,3,2.584,0.29,,,,,
Phlox multiflora KANU00322730,Phlox multiflora,1,1.553,0.35,,,,,
Phlox multiflora KANU00322730,Phlox multiflora,2,1.634,0.28,,,,,
Phlox multiflora KANU00322730,Phlox multiflora,3,1.533,,,,,,
Phlox multiflora KANU00324002,Phlox multiflora,1,1.972,0.284,,,,,
Phlox multiflora KANU00324002,Phlox multiflora,2,1.706,0.276,,,,,
Phlox multiflora KANU00324002,Phlox multiflora,3,1.892,0.211,,,,,
,Phlox multiflora,,,,1.853555556,0.333147907,0.306,0.076787276,6.057371097
Phlox muscoides KANU00265750,Phlox muscoides,1,1.108,0.114,,,,,
Phlox muscoides KANU00265750,Phlox muscoides,2,0.915,0.166,,,,,
Phlox muscoides KANU00265750,Phlox muscoides,3,1.03,0.159,,,,,
Phlox muscoides KANU00265757,Phlox muscoides,1,0.723,0.121,,,,,
Phlox muscoides KANU00265757,Phlox muscoides,2,0.943,0.109,,,,,
Phlox muscoides KANU00265757,Phlox muscoides,3,0.975,0.148,,,,,
Phlox muscoides KANU00307760,Phlox muscoides,1,1.019,0.18,,,,,
Phlox muscoides KANU00307760,Phlox muscoides,2,1.022,0.139,,,,,
Phlox muscoides KANU00307760,Phlox muscoides,3,0.988,0.144,,,,,
,Phlox muscoides,,,,0.969222222,0.10773553,0.142222222,0.024164942,6.81484375
Phlox nana KANU00265768,Phlox nana,1,2.561,0.237,,,,,
Phlox nana KANU00265768,Phlox nana,2,2.335,0.251,,,,,
Phlox nana KANU00265768,Phlox nana,3,2.081,0.188,,,,,
Phlox nana KANU00265770,Phlox nana,1,2.84,0.199,,,,,
