long,lat
-82.3722,29.1039
-81.88324,30.10139
-81.90216,30.03432
-81.90477,28.78028
-81.54172,30.23693
-81.89565,30.10386
-81.94118,30.11584
-80.43689,25.51665
-81.80878,29.43465
-81.7268,29.3143
-85.3948,29.93629
-81.7757,28.86151
-81.9755,27.7752
-81.89905,30.10851
-81.48598,25.95574
-82.76431,28.19899
-82.24487,28.14617
-82.71758,28.29425
-81.95577,28.44926
-82.33316,29.58358
-82.6783,29.47368
-81.85762,30.08748
-81.97483,28.50566
-81.91354,29.94011
-82.44225,29.39384
-86.7513,30.6966
-80.84301,28.93312
-82.40295,28.78812
-80.7217,28.31193
-82.53305,28.78806
-81.86789,29.36953
-80.84716,28.48899
-80.16933,26.80829
-81.2299,29.83863
-85.20786,30.71362
-81.52609,29.28971
-81.48534,28.85982
-80.55011,27.78042
-81.20045,28.54205
-82.01917,29.16722
-80.83882,28.20954
-81.4819,29.05872
-81.71583,26.85451
-81.74579,29.49577
-80.59502,25.39544
-80.58182,25.76119
-81.59869,28.99496
-81.12898,28.62323
-81.81697,26.67822
-82.0443,30.71004
-81.12292,29.33246
-84.91096,30.54079
-83.96767,30.40785
-82.82335,29.42016
-82.43094,27.66726
-81.85223,29.97917
-82.35501,29.67757
-82.0435,29.1795
-82.3948,28.14162
-80.29457,26.05091
-82.1475,26.9745
-81.98468,27.19995
-82.74918,28.09538
-80.47805,25.54494
-81.64167,29.00086
-83.00198,29.23723
-82.22301,27.35273
-81.23721,28.42146
-85.12705,33.26885
-85,34
-84.59345,34.28745
-82.24471,33.3646
-83.4192,34.6423
-85.0409,32.0538
-81.88475,31.8792
-84.2269,34.70435
-83.412,30.67
-81.73075,31.82345
-84.53352,33.70037
-84.869,33.5388
-83.714,34.672
-81.41267,31.08925
-82.24886,32.38575
-83.69085,34.68319
-84.2532,33.32442
-83.48067,34.74775
-82.1341,31.2439
-83.13654,31.24842
-84.7681,33.48295
-81.436,32.0391
-84.78979,33.80785
-84.97515,33.81029
-84.1293,31.43265
-84.73846,34.1318
-84.5136,34.48287
-85.31646,34.42654
-83.80404,34.64145
-84.383,34.39965
-83.26071,31.17384
-84.58501,34.8155
-82.86789,34.06705
-84.48006,34.31955
-84.5317,33.49565
-84.73555,33.2706
-82.6386,30.83105
-81.64665,31.46641
-84.72352,34.8243
-83.66153,31.18562
-83.55708,32.86288
-81.61756,31.9853
-83.77811,34.7673
-83.94456,34.84161
-85.18678,34.17521
-85.02602,32.96854
-83.90588,33.34677
-84.08932,32.2462
-83.61285,33.46372
-83.87177,34.36153
-84.83903,34.03528
-85.16238,34.05198
-83.71705,34.66467
-84.82338,33.94979
-85.10207,33.81871
-83.16122,32.30676
-83.31311,34.8804
-92.9008,41.3675
-93.82007,42.47806
-93.974,41.59377
-91.3867,43.078
-94.356,42.8674
-91.75205,40.995
-93.63804,41.62183
-96.40213,42.50817
-93.77783,40.59604
-92.76577,43.17215
-94.22206,42.72063
-94.3677,42.0152
-93.22192,42.73854
-91.8043,42.7525
-91.68192,42.28422
-93.85965,40.8348
-94.045,41.461
-90.66615,42.4104
-91.74585,41.47445
-90.76557,42.55997
-93.92304,42.03477
-90.93558,42.33531
-93.4371,41.52387
-111.1241,42.5149
-116.7787,47.95614
-115.75,45.08334
-116.0833,44.91666
-116.4,44.85
-116.25,42.79166
-116.9156,45.9978
-115.9167,44.75
-114.7503,44.25028
-115.5833,44.41666
-116.9266,47.70965
-116.0558,48.1143
-112.455,44.0925
-116.0834,44.58335
-116.8368,46.8102
-114.8281,43.4082
-111.7899,43.41005
-116.1475,48.255
-114.2634,42.21834
-115.586,46.94
-115.9965,47.509
-116.934,48.6334
-116.4171,48.49805
-115.8714,44.28265
-141.006,46.19614
-112.2873,44.41131
-116.99,48.1964
-116.0542,44.95277
-116.6339,48.45359
-116.0518,47.02242
-90.608,39.2949
-89.136,38.98
-88.71672,37.34339
-91.0007,40.4664
-91.0863,40.8139
-89.9595,41.30412
-89.689,41.7798
-89.558,39.06
-90.16171,38.92241
-90.0594,40.5332
-89.09732,38.68707
-88.929,37.91
-88.562,41.3368
-88.595,41.295
-88.55,41.33
-88.1577,42.1295
-87.47077,40.34057
-89.54485,38.4763
-90.459,40.316
-89.5,39.853
-89.85,42.21
-89.022,42.1846
-88.867,39.781
-89.582,38.946
-89.98351,39.06
-90.9009,40.9452
-90.40675,41.55965
-90.64,39.607
-88.9963,37.289
-89.341,38.567
-89.80125,38.72226
-89.48787,39.26776
-90.1451,38.9951
-87.58124,41.16124
-89.3211,41.2285
-88.724,40.19732
-89.88871,39.93521
-89.73378,40.82944
-90.24173,39.57463
-90.012,38.7774
-90.18651,39.6548
-90.17564,39.53747
-89.4691,39.7721
-90.0055,40.5658
-89.3469,39.5075
-89.99328,40.62288
-87.83285,41.84136
-88.53889,41.33018
-88.60814,41.29663
-88.38197,37.60075
-90.401840000000007,39.02341
-90.0795,41.7584
-88.71103,41.42396
-89.41959,40.14471
-88.1676,39.8213
-88.706,41.4209
-87.68468,38.71682
-89.88347,40.59904
-90.18332,40.98073
-88.29926,42.18476
-88.4586,41.61575
-90.16501,38.51689
-88.71402,41.42741
-89.55229,39.84874
-88.99181,38.1038
-89.36896,37.18404
-89.48784,37.71917
-90.79664,40.45273
-88.95451,41.30374
-88.9813,39.8732
-90.04582,39.37753
-87.79079,38.37945
-87.75156,41.53346
-89.60034,40.67577
-90.59952,40.25679
-88.1033,40.26916
-90.95499,39.91682
-89.49155,37.68485
-87.60593,41.40762
-88.61966,39.2372
-88.98393,37.88755
-87.8572,38.354
-90.0933,39.30525
-90.928,40.9119
-89.17177,37.63264
-89.80784,41.72264
-90.16382,41.12409
-87.8574,41.9586
-88.92,41.3224
-90.4429,40.9474
-88.70795,39.50655
-90.3832,40.625
-88.30026,42.1838
-88.23882,41.34693
-89.72024,38.96846
-88.60679,41.29601
-88.362,37.9308
-89.23383,37.85126
-89.30203,37.4351
-89.87113,38.43189
-89.49032,40.67855
-89.86021,39.4383
-89.35323,38.33912
-89.36241,37.56937
-89.56226,39.75318
-86.1512,40.18
-85.7037,41.3382
-86.5945,41.062
-85.61,39.3579
-85.8486,39.365
-86.1084,40.0403
-86.161,39.4862
-86.11,39.38
-87.3203,38.01
-87.23335,39.8679
-86.57665,39.01166
-86.46065,39.32117
-86.64338,38.12318
-84.971,39.17295
-86.25349,38.6899
-85.69739,40.54919
-85.3532,40.8179
-85.5481,39.45697
-87.13843,37.83837
-94.72448,37.81005
-96.9614,39.1489
-95.0802,37.0504
-94.6837,38.6234
-96.8223,39.1463
-97.60829,37.52947
-97.40294,37.64103
-95.84024,39.33292
-95.7455,37.192
-95.2577,38.9142
-97.3374,37.0581
-95.6491,38.3908
-95.747,39.072
-96.44296,38.62563
-97.34005,39.7273
-98.42924,37.56279
-95.44415,39.2305
-97.1953,37.3444
-97.4572,37.40504
-97.41755,38.19744
-99.26195,39.1062
-94.54,39.8595
-88.41175,36.8207
-83.67952,37.7764
-84.92358,37.3181
-84.97527,37.95708
-82.7989,38.53187
-82.88309,37.94235
